,field_code,field,link,rows,concepts,edges
112,305,Organic Chemistry,https://www.dropbox.com/scl/fi/2feiwgdzluzzwkozat4hp/concepts_Organic-Chemistry_305.csv.gz?rlkey=99pjsnd7opembokgu27d9isww&st=kzrx6jfz&dl=1,24763168,3077,41972
113,903,Biomedical Engineering,https://www.dropbox.com/scl/fi/6cdvi8560136oni6vlus6/concepts_Biomedical-Engineering_903.csv.gz?rlkey=7fuh4wtbyiux3lukc725a5flz&st=bwr5gdbz&dl=1,25754441,2380,17393
114,102,Applied Mathematics,https://www.dropbox.com/scl/fi/kp2835e2wbw2d8ucngx5d/concepts_Applied-Mathematics_102.csv.gz?rlkey=27o5dh9piahunpyzmm34m0498&st=o0gish0n&dl=1,26399756,4601,141169
115,913,Mechanical Engineering,https://www.dropbox.com/scl/fi/aolysq1px32wgh2a4lo71/concepts_Mechanical-Engineering_913.csv.gz?rlkey=r872331bmkx41qa1h2pcnvxdi&st=n1uoy8ou&dl=1,25341446,3071,37449
116,302,Inorganic Chemistry,https://www.dropbox.com/scl/fi/x9j2140povoakh0hzm3b7/concepts_Inorganic-Chemistry_302.csv.gz?rlkey=xvrvzqmrv1so94xf2ouj4s556&st=cttevky8&dl=1,27514404,4559,184788
117,1608,Sociology,https://www.dropbox.com/scl/fi/wobdiaeunkpbtbkqy4ng4/concepts_Sociology_1608.csv.gz?rlkey=q19i07xqphhmg3741c5dz8lhv&st=yzkodpse&dl=1,27713608,4905,158448
118,806,Information Systems,https://www.dropbox.com/scl/fi/xj5ncavowghnaot47vpez/concepts_Information-Systems_806.csv.gz?rlkey=zxq8tbp9i72uf5qnv3lpv8sab&st=ticayrai&dl=1,28824024,4723,163823
119,101,Pure Mathematics,https://www.dropbox.com/scl/fi/toojc1t8bny5fhtrqm92v/concepts_Pure-Mathematics_101.csv.gz?rlkey=agj5xeecx1boywggwmy7hr70z&st=luvwa5ye&dl=1,28988331,4878,110206
120,406,Physical Geography and Environmental Geoscience,https://www.dropbox.com/scl/fi/7w0m3g3oe6491zc7d68nd/concepts_Physical-Geography-and-Environmental-Geoscience_406.csv.gz?rlkey=zf95cuvyvibuwhmx6kfyhrlkf&st=wrp300i4&dl=1,26963399,10087,661207
121,907,Environmental Engineering,https://www.dropbox.com/scl/fi/0mnl5hpc8274xjfngj8px/concepts_Environmental-Engineering_907.csv.gz?rlkey=3qxe67t509k5kmtdte8gomzmd&st=t66xllwj&dl=1,28670949,3784,74982
122,605,Microbiology,https://www.dropbox.com/scl/fi/d69621o518gcqobmbq3ya/concepts_Microbiology_605.csv.gz?rlkey=injac62fzylfj0aqrwdc5shkt&st=45ped0xz&dl=1,30029623,4146,106536
123,1503,Business and Management,https://www.dropbox.com/scl/fi/84jsscac3cvaa0y3wl4bv/concepts_Business-and-Management_1503.csv.gz?rlkey=yp4c23ynkbbiz8bminx0w1so3&st=0tlenmvp&dl=1,31279853,5816,285439
124,2103,Historical Studies,https://www.dropbox.com/scl/fi/rdcwl9n27j8u8uvfhtick/concepts_Historical-Studies_2103.csv.gz?rlkey=byih0fbkrzglu4bejyjnd24lt&st=778d8xjg&dl=1,31563982,4680,170972
125,502,Environmental Science and Management,https://www.dropbox.com/scl/fi/g1m59okzcnxenrsuiykar/concepts_Environmental-Science-and-Management_502.csv.gz?rlkey=zsu6qe1at0qcb4di57nx0cwf2&st=vna8pre4&dl=1,32514786,7697,529623
126,301,Analytical Chemistry,https://www.dropbox.com/scl/fi/dv3ctlox6llfq9pb4fz9o/concepts_Analytical-Chemistry_301.csv.gz?rlkey=vrv6ewhumnbqph0clx1k6zj52&st=o8ansdyq&dl=1,31848663,3322,58292
127,303,Macromolecular and Materials Chemistry,https://www.dropbox.com/scl/fi/b3vh9nbem3wo60n8kkqal/concepts_Macromolecular-and-Materials-Chemistry_303.csv.gz?rlkey=1zf3wudg8sh5uwcm3ajsf6axi&st=t29elv1x&dl=1,32924931,4412,196096
128,1303,Specialist Studies In Education,https://www.dropbox.com/scl/fi/w09us0b9d5d0e90ok9yha/concepts_Specialist-Studies-In-Education_1303.csv.gz?rlkey=kenk3a61puo8gg3nbei4zjski&st=vranugey&dl=1,37093327,6805,569902
129,904,Chemical Engineering,https://www.dropbox.com/scl/fi/2q70wkmjnmv0k523bz19q/concepts_Chemical-Engineering_904.csv.gz?rlkey=zbk2lzvzr8e022mcat0ys95ke&st=egwiuxyz&dl=1,38390706,3384,84435
130,1402,Applied Economics,https://www.dropbox.com/scl/fi/rub57s6oi9aj873i2f7zo/concepts_Applied-Economics_1402.csv.gz?rlkey=8cx3cl7sdogiefg2xtalipsuf&st=6bax1lbr&dl=1,37792597,6411,453293
131,905,Civil Engineering,https://www.dropbox.com/scl/fi/e8jy4b382z8yujiky1woy/concepts_Civil-Engineering_905.csv.gz?rlkey=vu78q4l9o27p4m5y7i5etmx3c&st=pci4ec3u&dl=1,42212143,3310,80152
132,1108,Medical Microbiology,https://www.dropbox.com/scl/fi/udry88rup3e0avcm9d13b/concepts_Medical-Microbiology_1108.csv.gz?rlkey=yeki8ku3w4gg8xt7kh4iuhnix&st=752pfdd5&dl=1,43376109,1758,9904
133,607,Plant Biology,https://www.dropbox.com/scl/fi/1lpfs9ov29lgkbg0pe34n/concepts_Plant-Biology_607.csv.gz?rlkey=yc4602986uw3m7m5fv7m86ubu&st=w9y48b44&dl=1,43316508,5497,292099
134,403,Geology,https://www.dropbox.com/scl/fi/gmtq3prpewn010xlbihel/concepts_Geology_403.csv.gz?rlkey=qlrc4lzgudz5x10593yg6hhxn&st=w7hy7yfu&dl=1,46580067,11440,1477640
135,202,Atomic Molecular Nuclear Particle and Plasma Physics,https://www.dropbox.com/scl/fi/acemijv7clnwqg1tti1o6/concepts_Atomic-Molecular-Nuclear-Particle-and-Plasma-Physics_202.csv.gz?rlkey=kyiabq5nb67ai5xrzlkt9gbw7&st=3p95jkxs&dl=1,48677617,5828,342244
136,1115,Pharmacology and Pharmaceutical Sciences,https://www.dropbox.com/scl/fi/gmz4rim26wz047iejkza2/concepts_Pharmacology-and-Pharmaceutical-Sciences_1115.csv.gz?rlkey=0jnviq5t31gnkvg3i4ib2mo55&st=ltrif75w&dl=1,46226333,2268,18529
137,906,Electrical and Electronic Engineering,https://www.dropbox.com/scl/fi/mc3uaw2kjg8xklwyb7eu4/concepts_Electrical-and-Electronic-Engineering_906.csv.gz?rlkey=trrw2zi02jrzfs2ikzruudr8z&st=ol7sffjf&dl=1,49896182,3590,96382
138,915,Interdisciplinary Engineering,https://www.dropbox.com/scl/fi/4hffhemwefcsjll78r2r6/concepts_Interdisciplinary-Engineering_915.csv.gz?rlkey=v58ax2wb5wgvs7bmkwa0vorta&st=vave3f8p&dl=1,53622542,3177,94827
139,602,Ecology,https://www.dropbox.com/scl/fi/k0g9phfs1mwz3fco1jtge/concepts_Ecology_602.csv.gz?rlkey=weyuu8gajhuzx8pcnnb6misxe&st=c2crghsv&dl=1,52542609,6654,583853
140,1114,Paediatrics and Reproductive Medicine,https://www.dropbox.com/scl/fi/xeihopkhscvem5a2boko7/concepts_Paediatrics-and-Reproductive-Medicine_1114.csv.gz?rlkey=p0v1s14xgbsahdgjd59ka3mua&st=zgo4mmz2&dl=1,52939844,1702,9513
141,299,Other Physical Sciences,https://www.dropbox.com/scl/fi/h4l6kmxkdfmv6p287kmcj/concepts_Other-Physical-Sciences_299.csv.gz?rlkey=su902qffrbvvue87cgkrohe4j&st=hmocbww2&dl=1,61044939,5043,276528
142,801,Artificial Intelligence and Image Processing,https://www.dropbox.com/scl/fi/9gtu19xej6pbh1hzvip4u/concepts_Artificial-Intelligence-and-Image-Processing_801.csv.gz?rlkey=5h6sr9hnamlbqti5nbcozovav&st=7ufb1ak2&dl=1,58637910,4362,239700
143,1107,Immunology,https://www.dropbox.com/scl/fi/0ks2660uvddaqtrgcrjl5/concepts_Immunology_1107.csv.gz?rlkey=tjb94xhpisddlbkrmavbxwes8&st=v1helz47&dl=1,67817948,1375,6126
144,1701,Psychology,https://www.dropbox.com/scl/fi/kis7rv58wmro1m081nmzs/concepts_Psychology_1701.csv.gz?rlkey=tepkja9hlot9taa2tsm3i8dpi&st=kw0dw8if&dl=1,96795348,5241,430578
145,604,Genetics,https://www.dropbox.com/scl/fi/f8xtgsckxfc75puvbpho4/concepts_Genetics_604.csv.gz?rlkey=zefmq7usospbruro1iviy9bo3&st=0d5wi78c&dl=1,106649554,3962,283794
146,1112,Oncology and Carcinogenesis,https://www.dropbox.com/scl/fi/9j8e19fnfov85pjeeldbp/concepts_Oncology-and-Carcinogenesis_1112.csv.gz?rlkey=6ysdkm055iii32gg4q5r4soxh&st=ghydzo5s&dl=1,119944646,1565,17369
147,1109,Neurosciences,https://www.dropbox.com/scl/fi/4cdgajh7p06m9qtnch6iq/concepts_Neurosciences_1109.csv.gz?rlkey=g9wnm0eq1o4on9yyxzc4ndd9t&st=pboxda2b&dl=1,119185479,1873,37586
148,1102,Cardiorespiratory Medicine and Haematology,https://www.dropbox.com/scl/fi/fc2mw8u0z5zymqxpp403g/concepts_Cardiorespiratory-Medicine-and-Haematology_1102.csv.gz?rlkey=9pmh0xrtb493donyyfvt2uhf6&st=3pmd04yz&dl=1,123356143,1512,16286
149,306,Physical Chemistry incl. Structural ,https://www.dropbox.com/scl/fi/gbdgyxcl0jmdks93kvpeo/concepts_Physical-Chemistry-incl.-Structural-_306.csv.gz?rlkey=7h676cxi0ndk7xlconj0kj6ds&st=88qzssts&dl=1,150120736,4266,566961
150,912,Materials Engineering,https://www.dropbox.com/scl/fi/5pgg6cd9fi3x2ko503aq0/concepts_Materials-Engineering_912.csv.gz?rlkey=r9kgi9v1s02azjnlbu6faor6m&st=9p4c6m3l&dl=1,158690372,3465,290453
151,601,Biochemistry and Cell Biology,https://www.dropbox.com/scl/fi/yqr7npxye8tol943uq8z3/concepts_Biochemistry-and-Cell-Biology_601.csv.gz?rlkey=le4yibqp7r4paulnwbif2l9nv&st=3zybsaf8&dl=1,157077262,3229,190560
152,1117,Public Health and Health Services,https://www.dropbox.com/scl/fi/3kpu0k6oiah0z4rgvo9pb/concepts_Public-Health-and-Health-Services_1117.csv.gz?rlkey=09t7odarmd8jl4f77bzy68v7w&st=uys80nmh&dl=1,227985626,1813,34897
