,field_code,field,link,rows,concepts,edges
87,1110,Nursing,https://www.dropbox.com/scl/fi/3kmhtzroufdibigjbr85z/concepts_Nursing_1110.csv.gz?rlkey=kes069ql889on1gfilfk109xu&st=u9ol1f8a&dl=1,12836657,3141,15518
88,2005,Literary Studies,https://www.dropbox.com/scl/fi/otzmt2k3h3zqu0d2yey8o/concepts_Literary-Studies_2005.csv.gz?rlkey=f1fm22m1wexer9fb5k8j4o5bg&st=mxuueulh&dl=1,13410167,5544,95622
89,304,Medicinal and Biomolecular Chemistry,https://www.dropbox.com/scl/fi/dvfp48skuy5qec94zesab/concepts_Medicinal-and-Biomolecular-Chemistry_304.csv.gz?rlkey=klz6dyhjsqz5wq299axevg8ok&st=pl3v7rf2&dl=1,12848944,2038,3863
90,2002,Cultural Studies,https://www.dropbox.com/scl/fi/bxkg2fqavn1rgtmg9pny7/concepts_Cultural-Studies_2002.csv.gz?rlkey=5iw92fqradje9s5ytyzsya1k2&st=gye79bip&dl=1,13628322,5255,109229
91,401,Atmospheric Sciences,https://www.dropbox.com/scl/fi/0c28t3seg7aogw2f76vr8/concepts_Atmospheric-Sciences_401.csv.gz?rlkey=46lym9g9x65bkzpqtrvipaznh&st=3yey2ed6&dl=1,14298307,10623,385788
92,402,Geochemistry,https://www.dropbox.com/scl/fi/pa29rd80wm23etxvsryff/concepts_Geochemistry_402.csv.gz?rlkey=svrtr8vwya2hmjjlh8t23mhpl&st=1uw4t1p0&dl=1,15074187,13074,788735
93,205,Optical Physics,https://www.dropbox.com/scl/fi/s1jh5pllpaix6l3b4g9xm/concepts_Optical-Physics_205.csv.gz?rlkey=kc1qybxtzkv0t5bvwlync0af7&st=b26593jl&dl=1,15396852,5981,130135
94,908,Food Sciences,https://www.dropbox.com/scl/fi/bqula8pfitoht3gnkqhst/concepts_Food-Sciences_908.csv.gz?rlkey=3rsjbqzmkuqzcjwmdg55ntsqn&st=doi0foph&dl=1,16016360,3823,10979
95,1605,Policy and Administration,https://www.dropbox.com/scl/fi/e7764rt9ykis86jdtrouz/concepts_Policy-and-Administration_1605.csv.gz?rlkey=pqzx0zdz0te4vyq9749nal5di&st=kp5mlb6p&dl=1,17212668,5400,144481
96,1113,Ophthalmology and Optometry,https://www.dropbox.com/scl/fi/66wnxu01yv00jf6082fx1/concepts_Ophthalmology-and-Optometry_1113.csv.gz?rlkey=bbwjqgcmp2a0ns75pvj3wy3ty&st=ahq49h5n&dl=1,17746750,1484,2369
97,1801,Law,https://www.dropbox.com/scl/fi/ay6exm39s8wtxv383gr49/concepts_Law_1801.csv.gz?rlkey=qhmuk9fqjtj0201olwk4bllbf&st=mw96wa6d&dl=1,17723385,7285,337096
98,608,Zoology,https://www.dropbox.com/scl/fi/a1t16rtialcw03n50ffkc/concepts_Zoology_608.csv.gz?rlkey=vjv60sfbhofbgvzfzdkrlurl1&st=ur4m854l&dl=1,18064871,4146,22856
99,503,Soil Sciences,https://www.dropbox.com/scl/fi/llxoe0d2suwtxgw7i4jov/concepts_Soil-Sciences_503.csv.gz?rlkey=z0eb5shqsz7hri1amd12l0k6p&st=6bl6ow9u&dl=1,18675453,9462,503438
100,1702,Cognitive Sciences,https://www.dropbox.com/scl/fi/rqhjn0opeq9sff9dn5buu/concepts_Cognitive-Sciences_1702.csv.gz?rlkey=wt47ie0ntlm6gvmut53ajv18x&st=tzudmn1b&dl=1,18579553,4386,66248
101,1116,Medical Physiology,https://www.dropbox.com/scl/fi/4ilsrve4hn71u3wwufkf9/concepts_Medical-Physiology_1116.csv.gz?rlkey=hlccvxqk5fr20ydf7yz4938cl&st=5b65ofwn&dl=1,19007269,2067,6580
102,1302,Curriculum and Pedagogy,https://www.dropbox.com/scl/fi/8zqgmjjhjnhr500xqbvlk/concepts_Curriculum-and-Pedagogy_1302.csv.gz?rlkey=tvojct8s1vjeiz3xblf4jznhu&st=zc92ju80&dl=1,18956910,7789,447531
103,703,Crop and Pasture Production,https://www.dropbox.com/scl/fi/np3aml56dij4ddszr2fxr/concepts_Crop-and-Pasture-Production_703.csv.gz?rlkey=0jemm8mu1nrebeaxryiw4hzp4&st=qfboabuq&dl=1,19495942,8546,382557
104,399,Other Chemical Sciences,https://www.dropbox.com/scl/fi/xp5nktwaoatigz94fed6v/concepts_Other-Chemical-Sciences_399.csv.gz?rlkey=wnmtf70rgb8j0e7ytvkvcl111&st=milyp9q9&dl=1,19653612,4574,87427
105,707,Veterinary Sciences,https://www.dropbox.com/scl/fi/8cgy1opiaq18i0yn7ltmn/concepts_Veterinary-Sciences_707.csv.gz?rlkey=av52jo8kq4cjpb9ac0ewv09cx&st=mhnor28p&dl=1,18767044,3584,17611
106,914,Resources Engineering and Extractive Metallurgy,https://www.dropbox.com/scl/fi/jnrcqoohui64l7ik7jqaa/concepts_Resources-Engineering-and-Extractive-Metallurgy_914.csv.gz?rlkey=470jxc9ho7s4o0k4zmpif9lj0&st=vazxmbwa&dl=1,19971569,3848,47341
107,1005,Communications Technologies,https://www.dropbox.com/scl/fi/gmua611ya92h2hy7dxd7o/concepts_Communications-Technologies_1005.csv.gz?rlkey=vrpbgyb8zk81bok3y7v9ms4py&st=2exp2p2p&dl=1,20038225,6433,221287
108,104,Statistics,https://www.dropbox.com/scl/fi/h3hj0zglwmahi9ac5ff2v/concepts_Statistics_104.csv.gz?rlkey=pu8gx8e71vbl7y7jj6ylwblny&st=6ka98gkc&dl=1,20915463,4791,75988
109,1606,Political Science,https://www.dropbox.com/scl/fi/3jsnn22yrddb8nia4wz8c/concepts_Political-Science_1606.csv.gz?rlkey=i31q9v7hfrg0q3fph720vrkeb&st=04kb1nda&dl=1,22529548,5486,197897
110,204,Condensed Matter Physics,https://www.dropbox.com/scl/fi/3vweo67ypdwtbechh4smc/concepts_Condensed-Matter-Physics_204.csv.gz?rlkey=uyxg02og7q3r096skuzvv5y3t&st=djirhbfn&dl=1,22032822,3387,47915
111,201,Astronomical and Space Sciences,https://www.dropbox.com/scl/fi/ldb62ufn63673jq6m7a1h/concepts_Astronomical-and-Space-Sciences_201.csv.gz?rlkey=krpptvke01mjmkrbe59fan0z4&st=ht3g4d6y&dl=1,24120296,7007,285590
